"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 03:41:29 GMT 2022","Tue Jun 28 03:41:30 GMT 2022","127","","Отправляем http запросы","","Отправляем http запросы","Найти пользователя по логину get api/user 200","Найти пользователя по логину get api/user 200",""
"passed","Tue Jun 28 03:41:28 GMT 2022","Tue Jun 28 03:41:28 GMT 2022","10","","Отправляем http запросы","","Отправляем http запросы","Изменить запись о питомце post api/pet 200","Изменить запись о питомце post api/pet 200",""
"passed","Tue Jun 28 03:41:29 GMT 2022","Tue Jun 28 03:41:29 GMT 2022","13","","Отправляем http запросы","","Отправляем http запросы","Разместить заказ на продажу post api/store/order 200","Разместить заказ на продажу post api/store/order 200",""
"passed","Tue Jun 28 03:41:30 GMT 2022","Tue Jun 28 03:41:30 GMT 2022","55","","Отправляем http запросы","","Отправляем http запросы","Удалить пользователя get api/user 200","Удалить пользователя get api/user 200",""
"passed","Tue Jun 28 03:41:29 GMT 2022","Tue Jun 28 03:41:29 GMT 2022","18","","Отправляем http запросы","","Отправляем http запросы","Создать пользователя post api/user 200","Создать пользователя post api/user 200",""
"passed","Tue Jun 28 03:41:28 GMT 2022","Tue Jun 28 03:41:28 GMT 2022","52","","Отправляем http запросы","","Отправляем http запросы","Удалить питомца delete api/pet 200","Удалить питомца delete api/pet 200",""
"passed","Tue Jun 28 03:41:29 GMT 2022","Tue Jun 28 03:41:29 GMT 2022","13","","Отправляем http запросы","","Отправляем http запросы","Удалить заказ delete api/store/order 200","Удалить заказ delete api/store/order 200",""
"passed","Tue Jun 28 03:41:28 GMT 2022","Tue Jun 28 03:41:28 GMT 2022","78","","Отправляем http запросы","","Отправляем http запросы","Добавить(зарегистрировать) питомца post api/pet 200","Добавить(зарегистрировать) питомца post api/pet 200",""
"passed","Tue Jun 28 03:41:29 GMT 2022","Tue Jun 28 03:41:29 GMT 2022","9","","Отправляем http запросы","","Отправляем http запросы","Найти заказ на покупку питомца get api/store/order 200","Найти заказ на покупку питомца get api/store/order 200",""
"passed","Tue Jun 28 03:41:28 GMT 2022","Tue Jun 28 03:41:28 GMT 2022","24","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по ID get api/pet 200","Найти питомца по ID get api/pet 200",""
"passed","Tue Jun 28 03:41:28 GMT 2022","Tue Jun 28 03:41:28 GMT 2022","25","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по статусу get api/pet 200","Найти питомца по статусу get api/pet 200",""
