"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 12:12:31 GMT 2022","Mon Jun 27 12:12:31 GMT 2022","107","","Отправляем http запросы","","Отправляем http запросы","Создать пользователя post api/user 200","Создать пользователя post api/user 200",""
"passed","Mon Jun 27 12:12:29 GMT 2022","Mon Jun 27 12:12:29 GMT 2022","187","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по несуществующему ID get api/pet 200","Найти питомца по несуществующему ID get api/pet 200",""
"passed","Mon Jun 27 12:12:29 GMT 2022","Mon Jun 27 12:12:29 GMT 2022","157","","Отправляем http запросы","","Отправляем http запросы","Изменить запись о питомце post api/pet 200","Изменить запись о питомце post api/pet 200",""
"failed","Mon Jun 27 12:12:29 GMT 2022","Mon Jun 27 12:12:29 GMT 2022","212","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по ID get api/pet 200","Найти питомца по ID get api/pet 200",""
"failed","Mon Jun 27 12:12:32 GMT 2022","Mon Jun 27 12:12:32 GMT 2022","1","","Отправляем http запросы","","Отправляем http запросы","Удалить пользователя get api/user 200","Удалить пользователя get api/user 200",""
"passed","Mon Jun 27 12:12:31 GMT 2022","Mon Jun 27 12:12:32 GMT 2022","193","","Отправляем http запросы","","Отправляем http запросы","Найти пользователя по логину get api/user 200","Найти пользователя по логину get api/user 200",""
"passed","Mon Jun 27 12:12:31 GMT 2022","Mon Jun 27 12:12:31 GMT 2022","123","","Отправляем http запросы","","Отправляем http запросы","Удалить заказ с несуществующим ID delete api/store/order 200","Удалить заказ с несуществующим ID delete api/store/order 200",""
"passed","Mon Jun 27 12:12:29 GMT 2022","Mon Jun 27 12:12:29 GMT 2022","124","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по статусу get api/pet 200","Найти питомца по статусу get api/pet 200",""
"failed","Mon Jun 27 12:12:29 GMT 2022","Mon Jun 27 12:12:30 GMT 2022","167","","Отправляем http запросы","","Отправляем http запросы","Найти питомца по несуществующему статусу get api/pet 200","Найти питомца по несуществующему статусу get api/pet 200",""
"failed","Mon Jun 27 12:12:29 GMT 2022","Mon Jun 27 12:12:29 GMT 2022","141","","Отправляем http запросы","","Отправляем http запросы","Удалить питомца delete api/pet 200","Удалить питомца delete api/pet 200",""
"passed","Mon Jun 27 12:12:30 GMT 2022","Mon Jun 27 12:12:31 GMT 2022","162","","Отправляем http запросы","","Отправляем http запросы","Удалить заказ delete api/store/order 200","Удалить заказ delete api/store/order 200",""
"failed","Mon Jun 27 12:12:32 GMT 2022","Mon Jun 27 12:12:32 GMT 2022","0","","Отправляем http запросы","","Отправляем http запросы","Найти пользователя по несуществующему логину get api/user 200","Найти пользователя по несуществующему логину get api/user 200",""
"passed","Mon Jun 27 12:12:30 GMT 2022","Mon Jun 27 12:12:30 GMT 2022","153","","Отправляем http запросы","","Отправляем http запросы","Найти заказ на покупку питомца get api/store/order 200","Найти заказ на покупку питомца get api/store/order 200",""
"failed","Mon Jun 27 12:12:32 GMT 2022","Mon Jun 27 12:12:32 GMT 2022","0","","Отправляем http запросы","","Отправляем http запросы","Удалить пользователя по несуществующему логину get api/user 200","Удалить пользователя по несуществующему логину get api/user 200",""
"passed","Mon Jun 27 12:12:28 GMT 2022","Mon Jun 27 12:12:29 GMT 2022","248","","Отправляем http запросы","","Отправляем http запросы","Добавить(зарегистрировать) питомца post api/pet 200","Добавить(зарегистрировать) питомца post api/pet 200",""
"passed","Mon Jun 27 12:12:30 GMT 2022","Mon Jun 27 12:12:30 GMT 2022","105","","Отправляем http запросы","","Отправляем http запросы","Разместить заказ на продажу post api/store/order 200","Разместить заказ на продажу post api/store/order 200",""
"passed","Mon Jun 27 12:12:31 GMT 2022","Mon Jun 27 12:12:31 GMT 2022","177","","Отправляем http запросы","","Отправляем http запросы","Найти заказ на покупку питомца с несуществующим ID get api/store/order 200","Найти заказ на покупку питомца с несуществующим ID get api/store/order 200",""
